# Wordlist

# DATA
ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE	SUBGROUP
#
6163		u ʈ - p a	1	ash	Apuri	utrpa	ceniza	u ʈ p a	utrpa				Quechua
6164		u s - p a	1	ash	Apurimac	uspa	ceniza	u s p a	uspa				Quechua
6165		u tʃ - p a	1	ash	Arma	uchpa	ceniza	u tʃ p a	uchpa				Quechua
6166		u tʃ - p a	1	ash	Atalla	učpa	ceniza	u tʃ p a	učpa				Quechua
6167		u tʃ - p a	1	ash	Ayacucho	uchpa	ceniza	u tʃ p a	uchpa				Quechua
6168		u ʃ - p a	1	ash	Bobonaza	ushpa	ceniza	u ʃ p a	ushpa				Quechua
6169		u ʈ - p a	1	ash	Cacra-Hongos	utrpa	ceniza	u ʈ p a	utrpa				Quechua
6170		u ʈʂ - p a	1	ash	Chachapoyas	uĉpa	ceniza	u ʈʂ p a	uĉpa				Quechua
6171		u tʃ - p a	1	ash	Chacpar	učpa	ceniza	u tʃ p a	učpa				Quechua
6172		u ʂ - p a	1	ash	Chetilla	uŝpa	ceniza	u ʂ p a	uŝpa				Quechua
6174		u tʃ - pʰ a	1	ash	Curva	učpha	ceniza	u tʃ pʰ a	učpha				Quechua
6175		u s - pʰ a	1	ash	Cuzco	uspha	ceniza	u s pʰ a	uspha				Quechua
6177		u tʃ - p a	1	ash	Huallaga	učpa	ceniza	u tʃ p a	učpa				Quechua
6178		u ʈʂ - p a	1	ash	Huanca	utrpa	ceniza	u ʈʂ p a	utrpa				Quechua
6180		u ʈ - p a	1	ash	Huangascar	utrpa	ceniza	u ʈ p a	utrpa				Quechua
6181		u tʃ - p a	1	ash	HuarazHuailas	uchpa	ceniza	u tʃ p a	uchpa				Quechua
6182		u tʃ u f a	1	ash	Imbabura	uchufa	ceniza	u tʃ u f a	uchufa				Quechua
6183		u ʈʂ - p a	1	ash	Inkawasi	uĉpa	ceniza	u ʈʂ p a	uĉpa				Quechua
6187		u tʃ - p a	1	ash	Lamas	uchpa	ceniza	u tʃ p a	uchpa				Quechua
6188		u ʈʂ - p a	1	ash	Laraos	uĉpa	ceniza	u ʈʂ p a	uĉpa				Quechua
6189		u ʈ - p a	1	ash	Lincha-Tana	utrpa	ceniza	u ʈ p a	utrpa				Quechua
6190		u ʃ - pʰ a	1	ash	Maragua	ušpha	ceniza	u ʃ pʰ a	ušpha				Quechua
6191		u ʃ - p a	1	ash	Napo	ushpa	ceniza	u ʃ p a	ushpa				Quechua
6192		u ʈʂ - p a	1	ash	Pacaraos	utrpa	ceniza	u ʈʂ p a	utrpa				Quechua
6193		u tʃ - p a	1	ash	Pastaza	uchpa	ceniza	u tʃ p a	uchpa				Quechua
6194		u ʃ - pʰ a	1	ash	Pocona	ušpha	ceniza	u ʃ pʰ a	ušpha				Quechua
6196		u s - pʰ a	1	ash	Puno	uspha	ceniza	u s pʰ a	uspha				Quechua
6197		u tʃ - p a	1	ash	Putumayo	uchpa	ceniza	u tʃ p a	uchpa				Quechua
6198		u tʃ - p a	1	ash	Raimondi	uchpa	ceniza	u tʃ p a	uchpa				Quechua
6199		u ʈ - p a	1	ash	SanPedro	utrpa	ceniza	u ʈ p a	utrpa				Quechua
6200		u ʃ - p a	1	ash	Santiagueno	ushpa	ceniza	u ʃ p a	ushpa				Quechua
6202		u ʃ - p a	1	ash	Serena	ušpa	ceniza	u ʃ p a	ušpa				Quechua
6204		u ʃ - pʰ a	1	ash	Taquile	ušpha	ceniza	u ʃ pʰ a	ušpha				Quechua
6205		χ o χ e ʈʂ a	3	ash	Tarma	xuxiĉa	ceniza	χ o χ e ʈʂ a	xuxiĉa				Quechua
6206		u ʃ - p a	1	ash	Troje	ušpa	ceniza	u ʃ p a	ušpa				Quechua
6208		u tʃ - p a	1	ash	Wari	uchpa	ceniza	u tʃ p a	uchpa				Quechua
