ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE
1		w a	3	1 OBJECT	Apuri	wa		w a	wa			shimelman2017
2		j - k i	24	1S SUBJECT 2S OBJECT	Apuri	yki		j k i	yki			shimelman2017
3		n tʃ i k	58	1PL POSSESSOR	Apuri	nchik		n tʃ i k	nchik			shimelman2017
4		- - n tʃ i k	58	1PL VERBAL	Apuri	nchik		n tʃ i k	nchik			shimelman2017
5		tʃ u + w a n	111 3	1PL VERBAL CONDITIONAL	Apuri	chuwan		tʃ u + w a n	chuwan			shimelman2017
6		ʃ u n - - - -	111	1PL VERBAL FUTURE	Apuri	shun		ʃ u n	shun			shimelman2017
7		t a n t a + j	155 156	1S POSSESSOR	Apuri	tanta-y		t a n t a + j	tanta-y			shimelman2017
8		ʃ q a + j k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Apuri	shqayki		ʃ q a + j k i	shqayki		variation between sh and s	shimelman2017
9		k a + n i	234 235	1S VERBAL	Apuri	ka-ni		k a + n i	ka-ni			shimelman2017
10		ʃ - a q	280	1S VERBAL FUTURE	Apuri	shaq		ʃ a q	shaq			shimelman2017
11		w a q	325	2S CONDITIONAL	Apuri	waq		w a q	waq			shimelman2017
12		ʃ - u	337	2S OBJECT	Apuri	shu		ʃ u	shu			shimelman2017
13		j k i	348	2S POSSESSOR	Apuri	yki		j k i	yki			shimelman2017
14		w a + n k i	3 370	2S SUBJECT 1S OBJECT	Apuri	wanki		w a + n k i	wanki			shimelman2017
15		n - k i	370	2S VERBAL	Apuri	nki		n k i	nki			shimelman2017
16		n q a	446	3S FUTURE	Apuri	nqa		n q a	nqa			shimelman2017
17		n	466	3S POSSESSOR	Apuri	n		n	n			shimelman2017
18		w a + n tʃ i k	3 486	3S SUBJECT 1PL OBJECT	Apuri	wanchik		w a + n tʃ i k	wanchik			shimelman2017
19		w a + n	3 546	3S SUBJECT 1S OBJECT	Apuri	wan		w a + n	wan			shimelman2017
20		ʃ u + n k i	337 528	3S SUBJECT 2S OBJECT	Apuri	shunki		ʃ u + n k i	shunki			shimelman2017
21		n	546	3S VERBAL	Apuri	n		n	n			shimelman2017
22		p a q - -	1	ABLATIVE	Apuri	paq		p a q	paq			shimelman2017
23		- ʃ i	598	ACCOMPANIMENT	Apuri	shi		ʃ i	shi,si			shimelman2017
24		- s i	598	ACCOMPANIMENT	Apuri	si		s i	shi,si			shimelman2017
25		- t a	614	ACCUSATIVE	Apuri	ta		t a	ta			shimelman2017
26		p i s	639	ADDITIVE	Apuri	pis		p i s	pis,s			shimelman2017
28		q	674	AGENTIVE	Apuri	q		q	q			shimelman2017
29		p a q -	720	BENEFACTIVE	Apuri	paq		p a q	paq			shimelman2017
30		tʃ i	766	CAUSATIVE	Apuri	chi		tʃ i	chi			shimelman2017
31		p u n i	787	ASSERTIVE	Apuri	puni		p u n i	puni			shimelman2017
32		m u	800	CISLOCATIVE	Apuri	mu		m u	mu			shimelman2017
33		h i n a -	824	COMPARATIVE	Apuri	hina		h i n a	hina			shimelman2017
34		m a n	853	CONDITIONAL	Apuri	man		m a n	man			shimelman2017
35		ɾ a q -	877	CONTINUATIVE	Apuri	raq		ɾ a q	raq			shimelman2017
36		m a n	911	DATIVE/ILATIVE	Apuri	man		m a n	man			shimelman2017
37		n a j a	939	DESIDERATIVE	Apuri	naya		n a j a	naya			shimelman2017
38		ɾ a j a	968	DETRANSITIVIZER	Apuri	raya		ɾ a j a	raya			shimelman2017
39		- - tʃ a -	976	DIMINUTIVE	Apuri	cha		tʃ a	cha			shimelman2017
40		ɲ a	1019	DISCONTINUATIVE	Apuri	ña		ɲ a	ña			shimelman2017
41		tʃ u	1029	DISJUNCTIVE	Apuri	chu		tʃ u	chu			shimelman2017
42		tʃ ai - -	1036	DISTAL DEMONSTRATIVE	Apuri	chay		tʃ ai	chay			shimelman2017
43		w a k	1046	DISTAL REMOVED DEMONSTRATIVE	Apuri	wak		w a k	wak			shimelman2017
45		- - j - - a	16	PROGRESSIVE	Apuri	ya		j a	ya			shimelman2017
46		a ɾ i	1095	EMPHATIC	Apuri	ari		a ɾ i	ari			shimelman2017
47		j a	20	INTENSIFIER	Apuri	ya		j a	ya			shimelman2017
48		ʈ i - -	18	EVIDENTIAL CONJECTURAL	Apuri	tri		ʈ i	tri,tr			shimelman2017
49		ʈ - - -	18	EVIDENTIAL CONJECTURAL	Apuri	tr		ʈ	tri,tr			shimelman2017
50		m i	1157	EVIDENTIAL DIRECT	Apuri	mi		m i	mi,m			shimelman2017
51		m -	1157	EVIDENTIAL DIRECT	Apuri	m		m	mi,m			shimelman2017
52		i k	1184	EVIDENTIAL MODIFIER	Apuri	ik		i k	ik			shimelman2017
53		i k i	1191	EVIDENTIAL MODIFIER (STRONGEST)	Apuri	iki		i k i	iki			shimelman2017
54		ʃ - i	1198	EVIDENTIAL REPORTATIVE	Apuri	shi		ʃ i	shi,sh			shimelman2017
55		ʃ - -	1198	EVIDENTIAL REPORTATIVE	Apuri	sh		ʃ	shi,sh			shimelman2017
56		i - k u	1228	EXCEPTIONAL	Apuri	yku		i k u	yku,yka/ika/iku			shimelman2017
57		i - k a	1228	EXCEPTIONAL	Apuri	yka		i k a	yku,yka/ika/iku			shimelman2017
58		- i k a	1228	EXCEPTIONAL	Apuri	ika		i k a	yku,yka/ika/iku			shimelman2017
59		- i k u	1228	EXCEPTIONAL	Apuri	iku		i k u	yku,yka/ika/iku			shimelman2017
60		p u ɾ a	1256	EXCLUSIVE	Apuri	pura		p u ɾ a	pura			shimelman2017
61		tʃ a -	1272	FACTIVE	Apuri	cha		tʃ a	cha			shimelman2017
62		- k a ʈ a	1295	FREQUENTIVE	Apuri	katra		k a ʈ a	katra			shimelman2017
63		p a -	1315	GENITIVE	Apuri	pa		p a	pa,pi			shimelman2017
64		p i -	1315	GENITIVE	Apuri	pi		p i	pa,pi			shimelman2017
65		i - -	1362	IMPERATIVE	Apuri	y		i	y			shimelman2017
66		ɾ i	1397	INCEPTIVE	Apuri	ri		ɾ i	ri			shimelman2017
67		j a -	1419	INCHOATIVE	Apuri	ya		j a	ya			shimelman2017
68		n - - t i n	1443	INCLUSIVE	Apuri	ntin		n t i n	ntin			shimelman2017
69		i	1362	INFINITIVE	Apuri	y		i	y			shimelman2017
70		tʃ u n - -	1486	INJUNCTIVE	Apuri	chun		tʃ u n	chun			shimelman2017
71		w a n	1507	INSTRUMENTAL-COMITATIVE	Apuri	wan		w a n	wan			shimelman2017
72		j a	20	INTENSIFIER	Apuri	ya		j a	ya			shimelman2017
